npc_name,total_medals,npc_gold,npc_silver,npc_bronze
Argentina,73,18,28,27
Australia,1020,343,348,329
Austria,406,133,137,136
Belarus,21,6,4,11
Brazil,162,51,57,54
Canada,1099,417,325,357
China,934,404,303,227
Czechia,4,3,1,0
Finland,181,77,46,58
France,1054,370,344,340
Germany,1809,631,611,567
Israel,180,74,47,59
Italy,237,78,73,86
Jamaica,15,8,3,4
Japan,166,54,54,58
Mexico,42,20,16,6
Netherlands,675,257,218,200
New Zealand,12,7,0,5
Norway,479,199,156,124
Poland,598,231,198,169
Russia,398,138,149,111
Slovakia,29,15,8,6
South Africa,116,54,33,29
South Korea,126,58,42,26
Spain,456,154,140,162
Sweden,501,201,167,133
Switzerland,135,49,43,43
Ukraine,421,145,124,152
United Kingdom,1796,627,586,583
United States,2494,882,819,793
Zimbabwe,17,10,5,2
