country, total_medals, total_gold, total_silver, total_bronze
Afghanistan,2,0,2,0
Algeria,17,5,8,4
Argentina,74,21,28,25
Armenia,16,2,9,5
Australia,518,150,197,171
Austria,108,26,42,40
Azerbaijan,44,7,25,12
Bahamas,14,6,6,2
Bahrain,3,1,1,1
Barbados,1,0,1,0
Belarus,84,13,43,28
Belgium,166,44,63,59
Bermuda,1,0,1,0
Botswana,1,0,0,1
Brazil,128,30,62,36
Bulgaria,217,51,80,86
Burundi,2,1,0,1
Cameroon,5,3,1,1
Canada,305,64,137,104
Chile,13,2,4,7
China,545,228,154,163
Colombia,28,5,14,9
Costa Rica,4,1,2,1
Croatia,33,11,12,10
Cuba,214,77,70,67
Curacao,1,0,0,1
Cyprus,1,0,0,1
Czech Republic,207,64,75,68
Denmark,212,49,82,81
Djibouti,1,0,1,0
Dominican Republic,7,3,2,2
Ecuador,2,1,0,1
Egypt,27,7,12,8
Eritrea,1,0,1,0
Estonia,34,9,16,9
Ethiopia,53,22,22,9
Fiji,1,1,0,0
Finland,310,104,120,86
France,777,234,287,256
Gabon,1,0,0,1
Georgia,32,8,18,6
Germany,1392,444,491,457
Ghana,4,0,3,1
Greece,151,42,52,57
Grenada,2,1,0,1
Guatemala,1,0,0,1
Guyana,1,0,1,0
Haiti,3,1,1,1
Hungary,504,178,172,154
Iceland,4,0,2,2
India,28,9,12,7
Individual Olympic Athletes,5,1,3,1
Indonesia,30,7,11,12
Iran,68,18,29,21
Iraq,1,0,1,0
Ireland,33,9,13,11
Israel,9,1,7,1
Italy,608,219,198,191
Ivory Coast,3,1,1,1
Jamaica,76,22,22,32
Japan,437,142,161,134
Jordan,1,1,0,0
Kazakhstan,70,19,29,22
Kenya,100,31,31,38
Kosovo,1,1,0,0
Kuwait,2,0,2,0
Kyrgyzstan,3,0,2,1
Latvia,19,3,5,11
Lebanon,4,0,2,2
Lithuania,25,6,13,6
Luxembourg,6,4,0,2
Macedonia,1,0,1,0
Malaysia,11,0,4,7
Mauritius,1,0,1,0
Mexico,67,13,30,24
Moldova,7,0,5,2
Monaco,1,0,1,0
Mongolia,26,2,14,10
Montenegro,1,0,0,1
Morocco,23,6,12,5
Mozambique,2,1,1,0
Namibia,4,0,0,4
Netherlands,299,88,114,97
New Zealand,118,47,44,27
Niger,2,0,1,1
Nigeria,24,3,13,8
North Korea,54,16,23,15
Norway,158,59,48,51
Pakistan,10,3,4,3
Panama,3,1,2,0
Paraguay,1,0,0,1
Peru,4,1,0,3
Philippines,10,0,7,3
Poland,290,69,134,87
Portugal,24,4,12,8
Puerto Rico,9,1,6,2
Qatar,5,0,4,1
Romania,303,88,120,95
Russia,1577,592,487,498
Saudi Arabia,3,0,2,1
Senegal,1,0,0,1
Serbia,107,31,37,39
Singapore,5,1,2,2
Slovakia,28,9,8,11
Slovenia,23,5,10,8
South Africa,88,25,30,33
South Korea,264,90,89,85
Spain,148,44,41,63
Sri Lanka,2,0,0,2
Sudan,1,0,0,1
Suriname,2,1,1,0
Sweden,513,150,188,175
Switzerland,209,58,69,82
Syria,5,1,2,2
Taiwan,24,3,14,7
Tajikistan,4,1,2,1
Tanzania,2,0,0,2
Thailand,30,9,13,8
Togo,1,0,1,0
Tonga,1,0,0,1
Trinidad,21,3,13,5
Tunisia,13,3,7,3
Turkey,95,40,28,27
Uganda,7,2,2,3
United Kingdom,895,278,300,317
Ukraine,126,35,59,32
United Arab Emirates,2,1,1,0
United States,2545,1035,708,802
Uruguay,10,2,6,2
Uzbekistan,33,9,17,7
Venezuela,15,2,10,3
Vietnam,4,1,0,3
"Virgin Islands, US",1,0,0,1
Zambia,2,0,1,1
Zimbabwe,8,3,1,4
